Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL;Shop ID
2;1;Пиротехника;1;0;;;;;;;1,4
3;1;Петарды;2;0;;;;;;;1,4
4;1;Фитильные;3;0;;;;;;;1,4
5;1;Терочные;3;0;;;;;;;1,4
6;1;С чекой;3;0;;;;;;;1,4
7;1;Связки ;3;0;;;;;;;1,4
8;1;С эффектами;3;0;;;;;;;1,4
9;1;Ракеты;2;0;;;;;;;1,4
10;1;Наборы;9;0;;;;;;;1,4
11;1;Со свистом;9;0;;;;;;;1,4
12;1;Складные;9;0;;;;;;;1,4
13;1;Вертушки;2;0;;;;;;;1,4
14;1;Наземные;13;0;;;;;;;1,4
15;1;Летающие;13;0;;;;;;;1,4
16;1;Фонтаны;2;0;;;;;;;1,4
17;1;Дымовые;16;0;;;;;;;1,4
18;1;Конусные;16;0;;;;;;;1,4
19;1;Фигурные;16;0;;;;;;;1,4
20;1;Вращающиеся;16;0;;;;;;;1,4
21;1;С салютом;16;0;;;;;;;1,4
22;1;Настольные;16;0;;;;;;;1,4
23;1;Римские свечи;2;0;;;;;;;1,4
24;1;По калибрам;23;0;;;;;;;1,4
25;1;< 0.7 дюйма ;24;0;;;;;;;1,4
26;1;0.7 - 0.9 дюйма;24;0;;;;;;;1,4
27;1;1.0 - 1.4 дюйма;24;0;;;;;;;1,4
28;1;> 1.4 дюйма ;24;0;;;;;;;1,4
29;1;По кол. Залпов;23;0;;;;;;;1,4
30;1;< 8;29;0;;;;;;;1,4
31;1;8 - 10;29;0;;;;;;;1,4
32;1;> 10;29;0;;;;;;;1,4
33;1;C одним эффектом;23;0;;;;;;;1,4
34;1;Несколько эффектов;23;0;;;;;;;1,4
35;1;Связки свечей;23;0;;;;;;;1,4
36;1;Фестивальные шары;2;0;;;;;;;1,4
37;1;1.5 дюйма;36;0;;;;;;;1,4
38;1;1.7 дюйма;36;0;;;;;;;1,4
39;1;1.9 дюйма;36;0;;;;;;;1,4
40;1;2.0 дюйма;36;0;;;;;;;1,4
41;1;2.5 дюйма;36;0;;;;;;;1,4
42;1;Батареи салютов;2;0;;;;;;;1,4
43;1;По калибрам;42;0;;;;;;;1,4
44;1;< 0.8 дюйма;43;0;;;;;;;1,4
45;1;0.8 дюйма;43;0;;;;;;;1,4
46;1;1.0  дюйма;43;0;;;;;;;1,4
47;1;1.1  дюйма;43;0;;;;;;;1,4
48;1;1.2 дюйма;43;0;;;;;;;1,4
49;1;1.25 дюйма;43;0;;;;;;;1,4
50;1;> 1.3 дюйма;43;0;;;;;;;1,4
51;1;Комбинированные;43;0;;;;;;;1,4
52;1;По кол. Залпов;42;0;;;;;;;1,4
53;1;< 10;52;0;;;;;;;1,4
54;1;10 - 19;52;0;;;;;;;1,4
55;1;20 - 29;52;0;;;;;;;1,4
56;1;30 - 39;52;0;;;;;;;1,4
57;1;40 - 49;52;0;;;;;;;1,4
58;1;50 - 69;52;0;;;;;;;1,4
59;1;70 - 99;52;0;;;;;;;1,4
60;1;100 - 149;52;0;;;;;;;1,4
61;1;150 - 199;52;0;;;;;;;1,4
62;1;> 200;52;0;;;;;;;1,4
63;1;Многоуровневые ;42;0;;;;;;;1,4
64;1;Завершение залпом;42;0;;;;;;;1,4
65;1;Веерные;42;0;;;;;;;1,4
66;1;Комбинированные;42;0;;;;;;;1,4
67;1;Модульные;42;0;;;;;;;1,4
68;1;3Д;42;0;;;;;;;1,4
69;1;Элитные;42;0;;;;;;;1,4
70;1;По тематике;42;0;;;;;;;1,4
71;1;Зимняя;70;0;;;;;;;1,4
72;1;Новогодняя;70;0;;;;;;;1,4
73;1;Рождество;70;0;;;;;;;1,4
74;1;Военная;70;0;;;;;;;1,4
75;1;Подарочная;70;0;;;;;;;1,4
76;1;Свадебная;70;0;;;;;;;1,4
77;1;Романтическая;70;0;;;;;;;1,4
78;1;Для милых дам;70;0;;;;;;;1,4
79;1;Для мужчин;70;0;;;;;;;1,4
80;1;Для детей;70;0;;;;;;;1,4
81;1;Для молодежи;70;0;;;;;;;1,4
82;1;Сказочная;70;0;;;;;;;1,4
83;1;С юмором;70;0;;;;;;;1,4
84;1;Бенгальские свечи;2;0;;;;;;;1,4
85;1;Малые;84;0;;;;;;;1,4
86;1;Средние;84;0;;;;;;;1,4
87;1;Крупные;84;0;;;;;;;1,4
88;1;Цветные;84;0;;;;;;;1,4
89;1;Фигурные;84;0;;;;;;;1,4
90;1;С эффектами;84;0;;;;;;;1,4
91;1;Хлопушки;2;0;;;;;;;1,4
92;1;С серпантином;91;0;;;;;;;1,4
93;1;С конфетти;91;0;;;;;;;1,4
94;1;С сюрпризом;91;0;;;;;;;1,4
95;1;Макси;91;0;;;;;;;1,4
96;1;Супер;91;0;;;;;;;1,4
97;1;Наборы;91;0;;;;;;;1,4
98;1;Пневмохлопушки;2;0;;;;;;;1,4
99;1;20 см;98;0;;;;;;;1,4
100;1;30 см;98;0;;;;;;;1,4
101;1;60 см;98;0;;;;;;;1,4
102;1;100 см;98;0;;;;;;;1,4
103;1;Небесные фонарики;2;0;;;;;;;1,4
104;1;Бриллиант;103;0;;;;;;;1,4
105;1;Корона;103;0;;;;;;;1,4
106;1;Овал;103;0;;;;;;;1,4
107;1;Сердце;103;0;;;;;;;1,4
108;1;Цилиндр;103;0;;;;;;;1,4
109;1;Факелы;2;0;;;;;;;1,4
110;1;Дымовые;109;0;;;;;;;1,4
111;1;Огневые;109;0;;;;;;;1,4
112;1;Прочие;2;0;;;;;;;1,4
