Имя ;Артикул;Категория;Поставщик;Арт. Пост;Цена единицы без налогов;Производитель;Действия когда нет в наличии;Расширенное управление (0 = No;Склад ID
"Госпожа метелица  (1""х12)   1/20/1";D7082;9;1;D7082;835,00;16;1;1;1
"Садко  (0,8""х16)   1/18/1";D7162;9;1;D7162;710,00;16;1;1;1
"Полнолуние   (0,8""х16)   1/24/1";D7164;9;1;D7164;695,00;16;1;1;1
"Праздничная фантазия   (1""х16)   1/12/1";D7280;9;1;D7280;1 150,00;16;1;1;1
"Матрешка   (1""х16)   1/16/1";D7282;9;1;D7282;1 150,00;16;1;1;1
"Чёртова дюжина  (1,2""х13 с фонтаном)   1/8/1";D7368;9;1;D7368;1 295,00;16;1;1;1
"Савух  (0,8""х19)   1/16/1";D7398;9;1;D7398;795,00;16;1;1;1
"Новогодний салют   (1""х19)   1/12/1";D7402;9;1;D7402;1 300,00;16;1;1;1
"Веселый салют   (1""х25)   1/8/1";D7550;9;1;D7550;1 630,00;16;1;1;1
"Аватар     (0,8""х49)    1/8/1";D7968;9;1;D7968;2 200,00;16;1;1;1
"Дары Афродиты     (1""х49)    1/4/1";D7972;9;1;D7972;3 250,00;16;1;1;1
"С Новым годом   (1""х72)   1/2/1";D8340;9;1;D8340;4 985,00;16;1;1;1
"Волшебный   (0,8""х100)   1/4/1";D8546;9;1;D8546;4 500,00;16;1;1;1
